motor_front,motor_back,pitch_filter,pitch_raw
543, 457, -1.444331, -2.266017
545, 455, -1.532876, -1.734830
548, 452, -1.612376, -1.023192
550, 450, -1.686620, -0.781538
553, 447, -1.769925, -0.946422
555, 445, -1.860818, -1.397762
558, 442, -1.954754, -1.763863
561, 439, -2.056070, -2.185126
564, 436, -2.154016, -2.220839
567, 433, -2.241458, -2.295107
569, 431, -2.323977, -2.520117
572, 428, -2.400487, -2.610719
573, 427, -2.452910, -2.760853
575, 425, -2.512549, -2.979123
576, 424, -2.559259, -3.051372
577, 423, -2.594014, -2.695868
578, 422, -2.623294, -2.467123
579, 421, -2.646831, -2.354251
580, 420, -2.667646, -2.333523
580, 420, -2.690335, -2.365946
581, 419, -2.711113, -2.282836
581, 419, -2.729712, -2.277138
582, 418, -2.754316, -2.482333
583, 417, -2.784606, -2.598804
584, 416, -2.817743, -2.313283
585, 415, -2.857034, -2.128921
586, 414, -2.896530, -1.847839
588, 412, -2.936517, -1.923331
589, 411, -2.993027, -2.781099
591, 409, -3.061173, -3.299559
593, 407, -3.126298, -3.576079
595, 405, -3.199672, -4.173018
598, 402, -3.274580, -4.500354
600, 400, -3.344377, -4.689157
602, 398, -3.410738, -4.639636
604, 396, -3.472813, -4.451232
605, 395, -3.530070, -3.983242
607, 393, -3.594644, -3.919384
609, 391, -3.655366, -3.408104
611, 389, -3.710634, -2.888583
613, 387, -3.770456, -2.768701
615, 385, -3.841942, -2.838212
617, 383, -3.913942, -3.062351
619, 381, -3.995702, -3.246656
622, 378, -4.080179, -3.625875
625, 375, -4.173028, -3.723297
628, 372, -4.268724, -3.723815
630, 370, -4.365099, -3.740963
633, 367, -4.459436, -3.615684
636, 364, -4.552380, -3.724718
639, 361, -4.647395, -3.757145
642, 358, -4.744804, -4.444901
645, 355, -4.841826, -5.035926
647, 353, -4.932278, -5.827819
650, 350, -5.030124, -7.081617
653, 347, -5.126689, -7.536928
656, 344, -5.210998, -7.576630
658, 342, -5.284658, -7.077294
660, 340, -5.351903, -6.541124
662, 338, -5.401764, -5.337318
663, 337, -5.449196, -4.711634
664, 336, -5.497398, -4.135415
666, 334, -5.545674, -3.703606
667, 333, -5.592275, -3.854835
669, 331, -5.659767, -4.845760
672, 328, -5.736065, -5.286624
674, 326, -5.810586, -5.593067
676, 324, -5.879544, -5.606043
678, 322, -5.947227, -5.278818
680, 320, -6.004415, -4.887790
681, 319, -6.048909, -4.475729
682, 318, -6.086629, -4.668265
683, 317, -6.131194, -5.755679
685, 315, -6.176324, -6.391782
686, 314, -6.227866, -6.913891
688, 312, -6.274806, -7.520350
689, 311, -6.304451, -7.629200
689, 311, -6.328734, -7.483524
