motor_front,motor_back,pitch_filter,pitch_desired
551, 449, -5.122562, -0.000000
548, 452, -5.151146, -0.000000
547, 453, -5.178140, -0.000000
545, 455, -5.194986, -0.000000
543, 457, -5.201687, -0.000000
544, 456, -5.201088, -0.000000
542, 458, -5.192888, -0.000000
543, 457, -5.172499, -0.000000
543, 457, -5.141393, -0.000000
547, 453, -5.112553, -0.000000
546, 454, -5.067715, -0.000000
548, 452, -5.027342, -0.000000
550, 450, -4.995751, -0.000000
552, 448, -4.963087, -0.000000
553, 447, -4.926418, -0.000000
554, 446, -4.895208, -0.000000
556, 444, -4.870098, -0.000000
558, 442, -4.859208, -0.000000
557, 443, -4.863678, -0.000000
560, 440, -4.884606, -0.000000
559, 441, -4.912560, -0.000000
557, 443, -4.941970, -0.000000
556, 444, -4.975328, -0.000000
553, 447, -5.015960, -0.000000
553, 447, -5.062215, -0.000000
552, 448, -5.107797, -0.000000
551, 449, -5.154678, -0.000000
547, 453, -5.191480, -0.000000
546, 454, -5.216745, -0.000000
546, 454, -5.236125, -0.000000
546, 454, -5.246168, -0.000000
543, 457, -5.240065, -0.000000
541, 459, -5.225272, -0.000000
540, 460, -5.198690, -0.000000
541, 459, -5.165887, -0.000000
541, 459, -5.125376, -0.000000
540, 460, -5.069427, -0.000000
543, 457, -5.020584, -0.000000
540, 460, -4.963596, -0.000000
543, 457, -4.916317, -0.000000
544, 456, -4.872349, -0.000000
546, 454, -4.830037, -0.000000
547, 453, -4.795506, -0.000000
550, 450, -4.770352, -0.000000
551, 449, -4.757751, -0.000000
551, 449, -4.756386, -0.000000
553, 447, -4.772030, -0.000000
550, 450, -4.785896, -0.000000
552, 448, -4.801609, -0.000000
550, 450, -4.820838, -0.000000
548, 452, -4.837370, -0.000000
547, 453, -4.858696, -0.000000
545, 455, -4.871502, -0.000000
544, 456, -4.878300, -0.000000
544, 456, -4.875150, -0.000000
543, 457, -4.868890, -0.000000
544, 456, -4.863235, -0.000000
544, 456, -4.855022, -0.000000
546, 454, -4.851930, -0.000000
543, 457, -4.839242, -0.000000
543, 457, -4.823256, -0.000000
546, 454, -4.810503, -0.000000
544, 456, -4.793869, -0.000000
542, 458, -4.774440, -0.000000
545, 455, -4.774071, -0.000000
544, 456, -4.773149, -0.000000
546, 454, -4.776913, -0.000000
543, 457, -4.764226, -0.000000
544, 456, -4.752158, -0.000000
546, 454, -4.747480, -0.000000
546, 454, -4.742418, -0.000000
547, 453, -4.736575, -0.000000
547, 453, -4.724023, -0.000000
548, 452, -4.712146, -0.000000
551, 449, -4.707059, -0.000000
552, 448, -4.705350, -0.000000
552, 448, -4.702577, -0.000000
557, 443, -4.709206, -0.000000
557, 443, -4.716310, -0.000000
557, 443, -4.720731, -0.000000
560, 440, -4.733086, -0.000000
561, 439, -4.751977, -0.000000
559, 441, -4.783042, -0.000000
559, 441, -4.818236, -0.000000
557, 443, -4.856453, -0.000000
555, 445, -4.896678, -0.000000
552, 448, -4.927294, -0.000000
550, 450, -4.955580, -0.000000
550, 450, -4.991021, -0.000000
548, 452, -5.017897, -0.000000
549, 451, -5.048476, -0.000000
547, 453, -5.066411, -0.000000
549, 451, -5.086202, -0.000000
550, 450, -5.095687, -0.000000
550, 450, -5.100448, -0.000000
551, 449, -5.101358, -0.000000
550, 450, -5.097859, -0.000000
551, 449, -5.094552, -0.000000
550, 450, -5.083468, -0.000000
550, 450, -5.063945, -0.000000
551, 449, -5.046347, -0.000000
551, 449, -5.018586, -0.000000
551, 449, -4.992464, -0.000000
552, 448, -4.971247, -0.000000
553, 447, -4.961220, -0.000000
553, 447, -4.954527, -0.000000
556, 444, -4.960767, -0.000000
555, 445, -4.963768, -0.000000
554, 446, -4.974555, -0.000000
553, 447, -4.988929, -0.000000
553, 447, -5.008427, -0.000000
552, 448, -5.037988, -0.000000
551, 449, -5.067567, -0.000000
550, 450, -5.094760, -0.000000
550, 450, -5.117900, -0.000000
547, 453, -5.129177, -0.000000
546, 454, -5.133660, -0.000000
547, 453, -5.138318, -0.000000
544, 456, -5.131147, -0.000000
544, 456, -5.123027, -0.000000
545, 455, -5.105868, -0.000000
542, 458, -5.080172, -0.000000
545, 455, -5.047063, -0.000000
545, 455, -5.022939, -0.000000
545, 455, -4.999312, -0.000000
544, 456, -4.971672, -0.000000
546, 454, -4.943645, -0.000000
549, 451, -4.921519, -0.000000
548, 452, -4.899520, -0.000000
548, 452, -4.886598, -0.000000
550, 450, -4.883648, -0.000000
549, 451, -4.879196, -0.000000
551, 449, -4.887020, -0.000000
551, 449, -4.894718, -0.000000
549, 451, -4.899913, -0.000000
550, 450, -4.902857, -0.000000
549, 451, -4.902795, -0.000000
549, 451, -4.908239, -0.000000
550, 450, -4.918382, -0.000000
549, 451, -4.923092, -0.000000
550, 450, -4.926037, -0.000000
549, 451, -4.919731, -0.000000
549, 451, -4.911937, -0.000000
551, 449, -4.914306, -0.000000
