roll_accel,roll_intl,roll_cal
  -2.05026,    0.55966,   -1.69555
  -2.05026,    0.54836,   -1.71372
  -2.05026,    0.53988,   -1.72876
  -2.05026,    0.53253,   -1.74239
  -0.47067,    0.52657,   -1.72280
  -0.47067,    0.52187,   -1.70236
  -0.47067,    0.51889,   -1.68065
  -0.47067,    0.51842,   -1.65692
   0.88700,    0.51867,   -1.60579
   0.88700,    0.51985,   -1.55478
   0.88700,    0.52250,   -1.50335
   0.88700,    0.52614,   -1.45197
   1.62524,    0.53160,   -1.38507
   1.62524,    0.53742,   -1.31917
   1.62524,    0.54340,   -1.25442
   1.62524,    0.54979,   -1.19056
   1.71279,    0.55674,   -1.12568
   1.71279,    0.56438,   -1.06143
   1.71279,    0.57215,   -0.99832
   1.71279,    0.57979,   -0.93661
   1.21969,    0.58744,   -0.88599
   1.21969,    0.59512,   -0.83635
   1.21969,    0.60243,   -0.78807
   1.21969,    0.60927,   -0.74122
   0.26010,    0.61566,   -0.71493
   0.26010,    0.62160,   -0.68960
   0.26010,    0.62715,   -0.66517
   0.26010,    0.63163,   -0.64228
  -0.78680,    0.63530,   -0.64157
  -0.78680,    0.63835,   -0.64149
  -0.78680,    0.64052,   -0.64226
  -0.78680,    0.64192,   -0.64379
  -1.71506,    0.64269,   -0.66446
  -1.71506,    0.64302,   -0.68514
  -1.71506,    0.64280,   -0.70596
  -1.71506,    0.64214,   -0.72679
  -2.20099,    0.64107,   -0.75732
  -2.26901,    0.63843,   -0.79014
  -2.26901,    0.63509,   -0.82299
  -2.26901,    0.63175,   -0.85519
  -2.26901,    0.62803,   -0.88710
  -2.25974,    0.62455,   -0.91797
  -2.25974,    0.62083,   -0.94844
  -2.25974,    0.61694,   -0.97849
  -2.25974,    0.61356,   -1.00742
  -1.76554,    0.61037,   -1.02571
  -1.76554,    0.60743,   -1.04339
  -1.76554,    0.60442,   -1.06079
  -1.76554,    0.60119,   -1.07805
  -0.95806,    0.59753,   -1.07923
  -0.95806,    0.59433,   -1.07994
  -0.95806,    0.59169,   -1.08009
  -0.95806,    0.58853,   -1.08075
  -0.06062,    0.58490,   -1.06391
  -0.06062,    0.58097,   -1.04770
  -0.06062,    0.57689,   -1.03195
  -0.06062,    0.57258,   -1.01674
   0.69457,    0.56818,   -0.98683
   0.69457,    0.56366,   -0.95763
   0.69457,    0.55925,   -0.92891
   0.69457,    0.55500,   -0.90061
   1.15634,    0.55060,   -0.86378
   1.15634,    0.54611,   -0.82778
   1.15634,    0.54159,   -0.79253
   1.15634,    0.53707,   -0.75797
   1.34191,    0.53230,   -0.72065
   1.34191,    0.52771,   -0.68390
   1.34191,    0.52327,   -0.64774
   1.34191,    0.51897,   -0.61215
   1.22731,    0.51441,   -0.57984
   1.22731,    0.50997,   -0.54805
   1.22731,    0.50552,   -0.51690
   1.22731,    0.50145,   -0.48600
   0.90592,    0.49726,   -0.46227
   0.90592,    0.49333,   -0.43876
   0.90592,    0.48903,   -0.41608
   0.90592,    0.48461,   -0.39397
   0.46500,    0.48032,   -0.38100
   0.46805,    0.47610,   -0.36815
   0.46805,    0.47216,   -0.35529
   0.46805,    0.46801,   -0.34288
   0.46805,    0.46405,   -0.33055
  -0.01880,    0.46034,   -0.32795
  -0.01880,    0.45659,   -0.32544
  -0.01880,    0.45274,   -0.32309
  -0.01880,    0.44859,   -0.32107
  -0.40812,    0.44513,   -0.32620
  -0.40812,    0.44220,   -0.33071
  -0.40812,    0.43926,   -0.33514
  -0.40812,    0.43609,   -0.33970
  -0.69226,    0.43322,   -0.34956
  -0.69226,    0.43054,   -0.35904
  -0.69226,    0.42753,   -0.36866
  -0.69226,    0.42454,   -0.37806
  -0.83429,    0.42178,   -0.38989
  -0.83429,    0.41932,   -0.40119
  -0.83429,    0.41686,   -0.41226
  -0.83429,    0.41421,   -0.42330
  -0.98002,    0.41150,   -0.43709
  -0.98002,    0.40881,   -0.45058
  -0.98002,    0.40639,   -0.46355
  -0.98002,    0.40419,   -0.47603
  -1.14375,    0.40150,   -0.49202
  -1.14375,    0.39841,   -0.50808
  -1.14375,    0.39507,   -0.52407
  -1.14375,    0.39210,   -0.53937
  -1.36300,    0.38968,   -0.55822
  -1.36300,    0.38707,   -0.57687
  -1.36300,    0.38413,   -0.59547
  -1.36300,    0.38100,   -0.61389
  -1.54863,    0.37759,   -0.63593
  -1.54863,    0.37388,   -0.65782
  -1.54863,    0.37054,   -0.67891
  -1.54863,    0.36797,   -0.69883
  -1.66820,    0.36569,   -0.72045
  -1.66820,    0.36334,   -0.74170
  -1.66820,    0.36083,   -0.76269
  -1.66820,    0.35808,   -0.78350
  -1.64667,    0.35518,   -0.80360
  -1.65247,    0.35275,   -0.82296
  -1.65247,    0.35110,   -0.84117
  -1.65247,    0.34927,   -0.85919
  -1.65247,    0.34736,   -0.87693
  -1.57799,    0.34533,   -0.89293
  -1.57799,    0.34335,   -0.90858
  -1.57799,    0.34155,   -0.92373
  -1.57799,    0.33983,   -0.93851
  -1.50634,    0.33803,   -0.95163
  -1.50634,    0.33604,   -0.96466
  -1.50634,    0.33350,   -0.97799
  -1.50634,    0.33052,   -0.99148
  -1.46076,    0.32781,   -1.00352
  -1.46076,    0.32512,   -1.01530
  -1.46076,    0.32233,   -1.02695
  -1.46076,    0.31943,   -1.03846
  -1.44799,    0.31620,   -1.04982
  -1.44799,    0.31281,   -1.06110
  -1.44799,    0.30943,   -1.07215
  -1.44799,    0.30627,   -1.08276
  -1.42802,    0.30271,   -1.09316
  -1.42802,    0.29864,   -1.10385
  -1.42802,    0.29438,   -1.11450
  -1.42802,    0.28948,   -1.12557
  -1.43536,    0.28398,   -1.13717
  -1.43536,    0.27803,   -1.14896
  -1.43536,    0.27198,   -1.16062
  -1.43536,    0.26624,   -1.17173
  -1.28865,    0.26078,   -1.17942
  -1.28865,    0.25483,   -1.18744
  -1.28865,    0.24828,   -1.19588
  -1.28865,    0.24179,   -1.20410
  -1.01275,    0.23544,   -1.20650
  -1.01275,    0.22890,   -1.20903
  -1.01275,    0.22266,   -1.21122
  -1.01275,    0.21634,   -1.21344
  -0.57992,    0.21010,   -1.20688
  -0.57992,    0.20422,   -1.20011
  -0.57992,    0.19863,   -1.19318
  -0.57992,    0.19306,   -1.18638
  -0.04092,    0.18758,   -1.16884
  -0.03411,    0.18247,   -1.15115
  -0.03411,    0.17744,   -1.13374
  -0.03411,    0.17258,   -1.11651
   0.36261,    0.16784,   -1.09157
   0.36504,    0.16362,   -1.06658
   0.36504,    0.15991,   -1.04158
   0.36504,    0.15565,   -1.01763
   0.36504,    0.15065,   -0.99487
   0.47289,    0.14522,   -0.97084
   0.47289,    0.13962,   -0.94745
   0.47289,    0.13400,   -0.92455
   0.47289,    0.12837,   -0.90212
   0.42101,    0.12300,   -0.88092
   0.42101,    0.11782,   -0.85995
   0.42101,    0.11287,   -0.83919
   0.42101,    0.10802,   -0.81874
   0.04170,    0.10320,   -0.80625
   0.04170,    0.09820,   -0.79419
   0.04170,    0.09277,   -0.78280
   0.04170,    0.08702,   -0.77195
  -0.34590,    0.08135,   -0.76898
  -0.34590,    0.07576,   -0.76599
  -0.34590,    0.07039,   -0.76286
  -0.34590,    0.06502,   -0.75978
  -0.71100,    0.05918,   -0.76453
  -0.71100,    0.05364,   -0.76889
  -0.71100,    0.04831,   -0.77295
  -0.71100,    0.04317,   -0.77675
  -1.09663,    0.03795,   -0.78826
  -1.09663,    0.03280,   -0.79948
  -1.09663,    0.02739,   -0.81072
  -1.09663,    0.02137,   -0.82234
  -1.34237,    0.01500,   -0.83898
  -1.34237,    0.00846,   -0.85546
  -1.34237,    0.00185,   -0.87168
  -1.34237,   -0.00459,   -0.88740
  -1.54421,   -0.01099,   -0.90681
  -1.54421,   -0.01720,   -0.92564
  -1.54421,   -0.02360,   -0.94428
  -1.54421,   -0.03022,   -0.96277
  -1.66677,   -0.03658,   -0.98308
  -1.66519,   -0.04260,   -1.00263
  -1.66519,   -0.04864,   -1.02180
  -1.66519,   -0.05459,   -1.04050
  -1.66519,   -0.06040,   -1.05868
  -1.75336,   -0.06587,   -1.07794
  -1.75336,   -0.07135,   -1.09681
  -1.75336,   -0.07693,   -1.11541
  -1.75336,   -0.08299,   -1.13411
  -1.83547,   -0.08935,   -1.15438
  -1.83547,   -0.09523,   -1.17376
  -1.83547,   -0.10077,   -1.19243
  -1.83547,   -0.10613,   -1.21053
  -1.90450,   -0.11164,   -1.22981
  -1.90450,   -0.11790,   -1.24944
  -1.90450,   -0.12437,   -1.26889
  -1.90450,   -0.13081,   -1.28791
  -1.98532,   -0.13732,   -1.30824
  -1.98532,   -0.14389,   -1.32822
  -1.98532,   -0.15044,   -1.34777
  -1.98532,   -0.15697,   -1.36693
  -2.06248,   -0.16353,   -1.38727
  -2.06248,   -0.17030,   -1.40741
  -2.06248,   -0.17743,   -1.42749
  -2.06248,   -0.18537,   -1.44797
  -2.10094,   -0.19330,   -1.46881
  -2.10094,   -0.20117,   -1.48916
  -2.10094,   -0.20914,   -1.50920
  -2.10094,   -0.21695,   -1.52870
  -2.10278,   -0.22409,   -1.54718
  -2.10278,   -0.23096,   -1.56502
  -2.10278,   -0.23787,   -1.58254
  -2.10278,   -0.24455,   -1.59950
  -2.03972,   -0.25075,   -1.61438
  -2.03972,   -0.25630,   -1.62832
  -2.03972,   -0.26176,   -1.64190
  -2.03972,   -0.26698,   -1.65497
  -1.95890,   -0.27175,   -1.66573
  -1.94462,   -0.27608,   -1.67555
  -1.94462,   -0.27954,   -1.68432
  -1.94462,   -0.28266,   -1.69258
  -1.91780,   -0.28552,   -1.69989
  -1.89497,   -0.28831,   -1.70653
  -1.89497,   -0.29055,   -1.71249
  -1.89497,   -0.29198,   -1.71755
  -1.89497,   -0.29331,   -1.72239
  -2.01249,   -0.29456,   -1.72942
  -2.01249,   -0.29537,   -1.73588
  -2.01249,   -0.29603,   -1.74206
  -2.01249,   -0.29618,   -1.74761
  -2.21619,   -0.29592,   -1.75673
  -2.21619,   -0.29548,   -1.76549
  -2.21619,   -0.29474,   -1.77378
  -2.21619,   -0.29375,   -1.78166
  -2.53269,   -0.29197,   -1.79493
  -2.53269,   -0.29002,   -1.80778
  -2.53269,   -0.28822,   -1.82051
  -2.53269,   -0.28613,   -1.83271
  -2.73282,   -0.28364,   -1.84826
  -2.73282,   -0.28088,   -1.86325
  -2.73282,   -0.27849,   -1.87830
  -2.73282,   -0.27622,   -1.89317
  -2.81675,   -0.27379,   -1.90926
  -2.81675,   -0.27115,   -1.92482
  -2.81675,   -0.26847,   -1.94003
  -2.81675,   -0.26564,   -1.95479
  -2.69791,   -0.26259,   -1.96667
  -2.69791,   -0.25958,   -1.97834
  -2.69791,   -0.25686,   -1.99007
  -2.69791,   -0.25448,   -2.00189
  -2.49146,   -0.25202,   -2.00927
  -2.49146,   -0.24963,   -2.01658
  -2.49146,   -0.24724,   -2.02373
  -2.49146,   -0.24504,   -2.03093
  -2.20676,   -0.24309,   -2.03254
  -2.20676,   -0.24162,   -2.03458
  -2.20676,   -0.24070,   -2.03713
  -2.20676,   -0.24004,   -2.03987
  -1.89093,   -0.23946,   -2.03632
  -1.90350,   -0.23894,   -2.03315
  -1.90350,   -0.23832,   -2.02995
  -1.90350,   -0.23762,   -2.02674
  -1.55390,   -0.23688,   -2.01656
  -1.56641,   -0.23600,   -2.00669
  -1.56641,   -0.23531,   -1.99721
  -1.56641,   -0.23494,   -1.98823
  -1.56641,   -0.23464,   -1.97951
  -1.21015,   -0.23431,   -1.96379
  -1.21015,   -0.23373,   -1.94815
  -1.21015,   -0.23306,   -1.93274
  -1.21015,   -0.23237,   -1.91760
  -0.88437,   -0.23163,   -1.89622
  -0.88437,   -0.23083,   -1.87519
  -0.88437,   -0.23025,   -1.85481
  -0.88437,   -0.22982,   -1.83498
  -0.71160,   -0.22953,   -1.81223
  -0.71160,   -0.22920,   -1.78989
  -0.71160,   -0.22916,   -1.76829
  -0.71160,   -0.22913,   -1.74712
  -0.68999,   -0.22920,   -1.72605
  -0.68999,   -0.22938,   -1.70551
  -0.68999,   -0.22935,   -1.68516
  -0.68999,   -0.22902,   -1.66494
  -0.86655,   -0.22843,   -1.64839
  -0.86655,   -0.22759,   -1.63193
  -0.86655,   -0.22664,   -1.61569
  -0.86655,   -0.22554,   -1.59963
  -1.05693,   -0.22430,   -1.58756
  -1.05693,   -0.22280,   -1.57548
  -1.05693,   -0.22133,   -1.56367
  -1.05693,   -0.22009,   -1.55232
  -1.34100,   -0.21852,   -1.54655
  -1.34100,   -0.21661,   -1.54057
  -1.34100,   -0.21420,   -1.53422
  -1.34100,   -0.21131,   -1.52752
  -1.66881,   -0.20809,   -1.52719
