motor_front,motor_back,pitch_filter,gyro
303, 697, 8.817960, 49.338421
307, 693, 9.133459, 48.361828
312, 688, 9.437658, 47.019012
322, 678, 9.722698, 44.516491
333, 667, 9.990070, 41.983459
340, 660, 10.244217, 40.243900
348, 652, 10.484377, 38.077091
361, 639, 10.707047, 34.750568
376, 624, 10.914145, 31.149389
400, 600, 11.089729, 25.167761
425, 575, 11.239233, 18.819912
445, 555, 11.367542, 13.814875
474, 526, 11.467652, 6.704062
500, 500, 11.545623, 0.142582
525, 475, 11.593815, -6.357860
549, 451, 11.601401, -12.370007
564, 436, 11.569252, -16.184820
582, 418, 11.494267, -20.518448
594, 406, 11.386872, -23.539782
602, 398, 11.255721, -25.523483
608, 392, 11.106450, -27.049410
620, 380, 10.938205, -30.070742
624, 376, 10.764168, -31.138889
637, 363, 10.573492, -34.465408
647, 353, 10.370358, -36.754299
662, 338, 10.155471, -40.569111
682, 318, 9.918467, -45.635181
702, 298, 9.659686, -50.670738
726, 274, 9.375484, -56.591328
759, 241, 9.052532, -64.953400
794, 206, 8.694901, -73.681694
831, 169, 8.296148, -82.959320
869, 131, 7.852773, -92.389534
914, 86, 7.354534, -103.528793
952, 48, 6.806487, -113.050568
979, 21, 6.208065, -119.856194
1016, -16, 5.548140, -129.164337
1051, -51, 4.836731, -137.801071
1083, -83, 4.076018, -145.766403
1115, -115, 3.265912, -153.792786
1130, -130, 2.432697, -157.638107
1142, -142, 1.549206, -160.720474
1149, -149, 0.638030, -162.490555
1142, -142, -0.281583, -160.567886
1126, -126, -1.201519, -156.692032
1104, -104, -2.113665, -151.198715
1075, -75, -3.044660, -143.813217
1041, -41, -3.940919, -135.420639
1005, -5, -4.794454, -126.326126
966, 34, -5.589768, -116.743309
929, 71, -6.328926, -107.496201
889, 111, -7.002011, -97.364059
851, 149, -7.610774, -87.933838
815, 185, -8.160110, -78.930870
784, 216, -8.657874, -71.087616
758, 242, -9.112600, -64.556656
736, 264, -9.528186, -59.002293
714, 286, -9.903070, -53.508961
695, 305, -10.243443, -48.931183
680, 320, -10.560472, -45.207924
662, 338, -10.854130, -40.508072
645, 355, -11.175361, -36.357555
619, 381, -11.456771, -29.979187
604, 396, -11.716927, -26.194891
593, 407, -11.952400, -23.356670
584, 416, -12.164586, -21.098301
574, 426, -12.343111, -18.748375
564, 436, -12.489630, -16.032228
555, 445, -12.609468, -13.926450
540, 460, -12.693085, -10.172673
525, 475, -12.753343, -6.418897
507, 493, -12.800573, -1.841121
490, 510, -12.824841, 2.523026
477, 523, -12.832528, 5.819025
462, 538, -12.810765, 9.664358
447, 553, -12.759390, 13.326579
430, 570, -12.672103, 17.660208
412, 588, -12.551256, 22.237984
393, 607, -12.403820, 26.968353
375, 625, -12.224393, 31.332499
356, 644, -12.010168, 36.184940
340, 660, -11.762578, 40.182865
323, 677, -11.469545, 44.485973
