yaw_desired,yaw_gyro,m1,m2,m3,m4
0.000000, 33.252117, 699, 500, 500, 699 
0.000000, 14.727378, 644, 555, 555, 644 
0.000000, 28.674337, 686, 513, 513, 686 
0.000000, 7.372417, 622, 577, 577, 622 
0.000000, 21.105747, 663, 536, 536, 663 
0.000000, 4.991973, 614, 585, 585, 614 
0.000000, 19.854486, 659, 540, 540, 659 
0.000000, 2.123234, 606, 593, 593, 606 
0.000000, 15.765007, 647, 552, 552, 647 
0.000000, 1.329752, 603, 596, 596, 603 
0.000000, 13.018341, 639, 560, 560, 639 
0.000000, 1.360271, 604, 595, 595, 604 
0.000000, 7.708121, 623, 576, 576, 623 
0.000000, -3.278543, 590, 609, 609, 590 
0.000000, 10.180120, 630, 569, 569, 630 
0.000000, -2.454543, 592, 607, 607, 592 
0.000000, 8.349010, 625, 574, 574, 625 
0.000000, -3.370098, 589, 610, 610, 589 
0.000000, 7.372417, 622, 577, 577, 622 
0.000000, -3.644765, 589, 610, 610, 589 
0.000000, 4.137455, 612, 587, 587, 612 
