motor_front,motor_back,pitch_filter,pitch_raw
277, 723, 16.191479, 15.876840
276, 724, 16.386618, 16.080805
275, 725, 16.599880, 17.282377
271, 729, 16.806067, 16.484623
268, 732, 17.029289, 17.408192
268, 732, 17.254784, 18.025606
270, 730, 17.461285, 18.027985
278, 722, 17.695868, 21.263798
279, 721, 17.875439, 19.393471
283, 717, 17.985569, 16.863832
293, 707, 18.141870, 21.251041
291, 709, 18.231689, 17.928911
292, 708, 18.322536, 18.508307
291, 709, 18.340752, 14.726000
286, 714, 18.376440, 14.740056
278, 722, 18.470293, 16.642017
280, 720, 18.582497, 18.137817
279, 721, 18.721992, 19.717703
278, 722, 18.862246, 19.845594
281, 719, 18.990261, 20.064423
278, 722, 19.120836, 20.229042
275, 725, 19.256672, 20.251556
274, 726, 19.423840, 21.749346
273, 727, 19.550016, 20.040525
273, 727, 19.681536, 20.916159
274, 726, 19.796251, 20.582018
275, 725, 19.871586, 19.027765
275, 725, 19.947174, 19.237484
274, 726, 20.017712, 18.946850
276, 724, 20.066172, 18.249962
276, 724, 20.121284, 18.868469
276, 724, 20.159838, 18.147640
279, 721, 20.198801, 18.741533
279, 721, 20.251900, 19.709585
279, 721, 20.291794, 19.150536
281, 719, 20.359175, 21.016842
280, 720, 20.415344, 20.493345
278, 722, 20.477987, 20.608540
279, 721, 20.543282, 21.119146
277, 723, 20.644787, 22.784431
275, 725, 20.756899, 23.245817
274, 726, 20.827686, 21.260420
274, 726, 20.915339, 22.321058
272, 728, 20.991467, 21.588364
272, 728, 21.049749, 20.905600
268, 732, 21.127762, 21.532303
267, 733, 21.139835, 18.038656
258, 742, 21.155474, 16.687393
247, 753, 21.211731, 16.897102
242, 758, 21.295761, 17.553328
238, 762, 21.445967, 20.572611
238, 762, 21.638929, 23.181597
240, 760, 21.839264, 24.506248
242, 758, 22.035213, 25.142044
242, 758, 22.193756, 23.595249
237, 763, 22.346275, 22.921398
230, 770, 22.524654, 23.536617
225, 775, 22.698532, 22.856710
224, 776, 22.853432, 22.322392
221, 779, 23.040468, 23.274807
220, 780, 23.229513, 24.208578
221, 779, 23.386404, 23.123560
217, 783, 23.542320, 23.011271
212, 788, 23.702694, 22.818127
209, 791, 23.874290, 23.171259
206, 794, 24.048363, 23.309175
204, 796, 24.231852, 24.040176
205, 795, 24.402603, 24.095678
209, 791, 24.559130, 24.286364
214, 786, 24.697300, 24.661182
212, 788, 24.852545, 25.639732
208, 792, 25.023573, 26.188293
206, 794, 25.160618, 24.530886
210, 790, 25.292906, 25.372341
210, 790, 25.417431, 25.370272
204, 796, 25.572916, 26.246817
201, 799, 25.749109, 27.147074
203, 797, 25.891830, 26.290834
207, 793, 26.052753, 28.205591
215, 785, 26.248880, 31.847931
209, 791, 26.386312, 28.351370
208, 792, 26.477507, 26.083488
201, 799, 26.512224, 22.402138
199, 801, 26.563473, 22.969341
197, 803, 26.691786, 26.622675
199, 801, 26.861732, 29.458231
203, 797, 26.983177, 28.099659
206, 794, 27.055790, 26.537889
221, 779, 27.131815, 29.367258
215, 785, 27.118948, 23.983995
