motor_front,motor_back,pitch_filter,pitch_raw
497, 503, 0.048976, 0.017107
500, 500, 0.047566, 0.051132
500, 500, 0.048593, 0.068094
500, 500, 0.048842, 0.133124
501, 499, 0.046939, 0.159291
500, 500, 0.046235, 0.125419
500, 500, 0.045306, 0.154028
502, 498, 0.039267, 0.154659
501, 499, 0.035220, 0.156123
502, 498, 0.032109, 0.259766
501, 499, 0.030574, 0.284329
502, 498, 0.029289, 0.315601
501, 499, 0.031204, 0.299672
501, 499, 0.030786, 0.318581
501, 499, 0.032267, 0.320699
501, 499, 0.032581, 0.294354
502, 498, 0.028440, 0.195229
503, 497, 0.021627, 0.201472
502, 498, 0.015367, 0.171110
502, 498, 0.006455, -0.019383
501, 499, -0.002404, -0.107806
502, 498, -0.012155, -0.103691
502, 498, -0.026260, -0.215698
503, 497, -0.044342, -0.169703
503, 497, -0.057495, -0.101614
503, 497, -0.068552, -0.068870
502, 498, -0.076529, -0.098938
503, 497, -0.085552, 0.008502
501, 499, -0.087422, 0.056516
501, 499, -0.087961, 0.060422
501, 499, -0.090114, 0.071589
501, 499, -0.090279, 0.076379
501, 499, -0.094114, -0.004766
501, 499, -0.099395, -0.060155
503, 497, -0.106078, -0.083988
502, 498, -0.110893, -0.028264
503, 497, -0.117239, 0.034325
502, 498, -0.120100, 0.061111
503, 497, -0.123417, 0.086698
503, 497, -0.130565, -0.080776
503, 497, -0.140157, -0.168790
503, 497, -0.150774, -0.213629
503, 497, -0.160703, -0.236134
504, 496, -0.173877, -0.317502
504, 496, -0.187407, -0.282594
505, 495, -0.199406, -0.107631
504, 496, -0.206393, -0.071441
503, 497, -0.210008, -0.105959
504, 496, -0.218458, -0.230616
502, 498, -0.218380, -0.263517
502, 498, -0.221325, -0.307094
502, 498, -0.226647, -0.409135
502, 498, -0.226765, -0.261913
503, 497, -0.229077, -0.166343
501, 499, -0.223391, -0.119330
502, 498, -0.220471, -0.221804
502, 498, -0.221244, -0.187940
502, 498, -0.221775, -0.206800
501, 499, -0.218762, -0.246822
502, 498, -0.218447, -0.264210
501, 499, -0.213538, -0.260830
500, 500, -0.207633, -0.267923
501, 499, -0.201925, -0.209836
500, 500, -0.195160, -0.110347
499, 501, -0.183737, -0.015557
499, 501, -0.171587, 0.053637
498, 502, -0.154751, 0.053732
499, 501, -0.141437, 0.129691
499, 501, -0.128911, 0.094219
499, 501, -0.116746, 0.037383
499, 501, -0.104682, 0.106175
499, 501, -0.093007, 0.201691
498, 502, -0.077550, 0.217107
498, 502, -0.065729, 0.153898
499, 501, -0.055914, 0.157792
490, 510, -0.023916, -0.248171
491, 509, -0.002905, -0.569405
489, 511, 0.014078, -1.153657
482, 518, 0.042662, -1.671672
482, 518, 0.072793, -1.625628
482, 518, 0.106976, -1.167761
482, 518, 0.165740, 0.118924
483, 517, 0.227055, 0.614900
482, 518, 0.296205, 0.941348
483, 517, 0.357755, 0.939462
482, 518, 0.415591, 0.836322
481, 519, 0.471826, 0.598670
480, 520, 0.527615, 0.633105
479, 521, 0.585669, 0.657560
475, 525, 0.648945, 0.533876
471, 529, 0.722058, 0.459723
467, 533, 0.803349, 0.444168
463, 537, 0.898484, 0.613504
457, 543, 1.006435, 0.742351
454, 546, 1.123748, 0.925988
451, 549, 1.246925, 0.926469
444, 556, 1.385012, 0.844788
438, 562, 1.535713, 0.851234
433, 567, 1.691441, 0.652723
427, 573, 1.854907, 0.591595
420, 580, 2.034634, 0.589903
414, 586, 2.223608, 0.690154
405, 595, 2.436008, 0.832239
399, 601, 2.655856, 0.785924
389, 611, 2.895339, 0.369082
379, 621, 3.143080, 0.188774
370, 630, 3.405797, 0.282475
365, 635, 3.694907, 1.088022
360, 640, 3.999933, 1.914866
358, 642, 4.308692, 2.833131
355, 645, 4.663710, 5.117086
360, 640, 5.028017, 6.512157
362, 638, 5.390001, 8.288815
364, 636, 5.789603, 8.849129
362, 638, 6.194328, 8.616595
367, 633, 6.471902, 8.071941
369, 631, 6.735842, 7.903157
365, 635, 7.011721, 7.811960
370, 630, 7.248213, 8.045875
362, 638, 7.505966, 8.080397
364, 636, 7.742429, 8.067645
364, 636, 7.941109, 7.562727
362, 638, 8.125857, 7.147539
367, 633, 8.292607, 7.241366
370, 630, 8.461578, 7.856828
372, 628, 8.598678, 8.972913
370, 630, 8.733971, 9.134375
366, 634, 8.886560, 9.652563
366, 634, 9.025855, 9.428772
365, 635, 9.162739, 9.369780
361, 639, 9.289260, 8.621481
359, 641, 9.408744, 8.395661
360, 640, 9.525069, 8.586348
360, 640, 9.646981, 9.072109
360, 640, 9.776602, 9.826858
357, 643, 9.940686, 11.557615
357, 643, 10.103734, 11.950418
351, 649, 10.286066, 12.220999
349, 651, 10.455172, 11.828772
344, 656, 10.622679, 11.430408
338, 662, 10.779475, 10.342767
334, 666, 10.927432, 9.839542
332, 668, 11.079033, 10.000473
327, 673, 11.237041, 10.009719
323, 677, 11.412128, 10.673688
319, 681, 11.602799, 11.417643
319, 681, 11.790898, 11.676402
318, 682, 11.969330, 11.433878
316, 684, 12.145793, 11.573498
315, 685, 12.317738, 11.611054
318, 682, 12.477036, 11.834237
317, 683, 12.642431, 12.363847
317, 683, 12.803289, 12.549681
317, 683, 12.967050, 12.964573
319, 681, 13.120527, 13.147198
322, 678, 13.261698, 13.420143
325, 675, 13.387754, 13.380790
325, 675, 13.511102, 13.710970
325, 675, 13.639762, 14.128473
326, 674, 13.767494, 14.646701
326, 674, 13.895507, 14.945658
325, 675, 14.015061, 14.694817
325, 675, 14.131415, 14.766628
322, 678, 14.256018, 14.983583
